Simulation,Type,ID,Timestep
0,patient,3e00af5f,0
0,patient,8f1c6f77,0
0,patient,3ad9d1b6,55
0,patient,764e67c9,56
0,worker,aeccfb9d,57
0,patient,fa93336f,71
0,patient,318451e3,81
0,patient,7ce78e68,92
0,patient,c70eac47,93
0,patient,f2f74ddc,101
0,worker,07e9a580,112
0,patient,cb4b2493,115
0,patient,dcfe6559,121
0,patient,5cb6f81e,161
0,worker,d2a2c820,167
0,worker,01faf277,180
0,worker,eaf5cdc4,196
0,patient,5ed09daf,275
0,worker,f3b1d6be,286
0,patient,116874df,293
0,patient,b6635a61,299
0,patient,9737a286,314
0,worker,44f6c389,326
0,patient,b089ba83,367
0,patient,f1c14539,370
0,patient,ae666b21,972
0,patient,4d52cacb,986
0,patient,c496b989,1062
0,patient,4ec2801f,1088
0,patient,600b1d07,1112
0,patient,1540f107,1226
1,patient,099dd2ab,0
1,patient,cd5cbd4e,0
1,worker,cadc0a12,40
1,patient,eeda5963,48
1,patient,793f8df2,49
1,worker,3b052a00,73
1,worker,0507f8dd,101
1,patient,09209679,105
1,patient,2e5b2cd3,106
1,patient,d1e0946d,112
1,patient,08b5a418,115
1,worker,0df004db,121
1,patient,e20ef411,123
1,patient,001685d3,124
1,worker,ccabfeb0,129
1,patient,f4a4d24d,152
1,worker,dab58b29,159
1,worker,2c7598a9,185
1,patient,a0a03bf9,368
1,patient,c901b447,370
1,patient,ac94de65,372
1,patient,d1f86734,377
1,patient,a1a353a2,426
1,patient,9df57924,432
1,patient,deb9b050,435
1,patient,7fcd8fe5,439
1,patient,e0c316ef,448
1,patient,8e803285,468
1,patient,a1fde674,470
1,patient,89bcaff6,483
1,patient,8dd42b22,559
2,patient,8051fdd7,0
2,patient,d60ace19,0
2,patient,9ac991f8,32
2,worker,6be37114,44
2,worker,199b671b,58
2,patient,0bf9dea1,62
2,patient,63bc569b,79
2,patient,012a6e64,83
2,worker,2f53af7a,84
2,patient,6174b901,152
2,worker,4bebc465,155
2,patient,d41d0567,182
2,patient,55d289dc,190
2,worker,61deb0b9,191
2,patient,8822c201,194
2,worker,1ede1121,197
2,patient,78e3ed71,198
2,patient,1478ad8a,211
2,worker,5c69fd55,242
2,patient,d6de6b97,285
2,patient,226003ae,302
2,patient,ad968ff6,311
2,patient,2d5cce7a,412
2,patient,3bd6226c,470
2,patient,ee9ac487,505
2,patient,cb250aca,820
2,patient,e21d1826,821
2,patient,8bf877e5,822
2,patient,3f69954f,831
2,patient,7886277c,852
2,patient,42524875,852
3,patient,38b95921,0
3,patient,1fd01ad6,0
3,patient,95d5f3c8,34
3,patient,024e36db,36
3,worker,1b311692,41
3,patient,0eaedbd7,46
3,patient,a511c497,47
3,worker,78dd7d9f,80
3,patient,6fbd187b,103
3,patient,3ecb4cf9,106
3,worker,cb3b4599,124
3,patient,1fdc4a78,129
3,worker,f89bd7f6,137
3,worker,348e4829,138
3,patient,f85690b9,140
3,patient,a50f41af,144
3,patient,0e594f64,147
3,patient,77a6b2a2,151
3,patient,25b083c2,157
3,worker,62a02f75,167
3,patient,4aae80dd,188
3,patient,6215e1d3,191
3,worker,20c87b24,197
3,patient,1493a9da,208
3,patient,acd368b6,228
3,patient,f215acfd,320
3,patient,0a6c9404,337
3,patient,7211c2cb,346
3,patient,ea268a08,367
3,patient,22e89157,630
3,patient,63cba640,761
4,patient,3f38137f,0
4,patient,41475828,0
4,patient,8ae146f9,2
4,patient,6bf0cc16,28
4,patient,8ec82686,30
4,worker,3e349093,44
4,patient,bd83074b,56
4,worker,60297974,67
4,patient,a8118fa0,93
4,worker,d4dacfa8,109
4,patient,a8eb5630,117
4,worker,defbb86f,134
4,patient,bf3c5ac3,138
4,patient,c0c873ec,154
4,worker,a15dab1e,157
4,patient,11a8b3ee,159
4,worker,f4972b98,164
4,patient,d67207e9,167
4,patient,d377de1f,169
4,patient,5d43c257,172
4,patient,4634a606,205
4,worker,4ff0fe57,214
4,patient,1c818513,274
4,patient,c531ad05,341
4,patient,a11dee55,443
4,patient,4edb3a66,629
4,patient,f6dbdfed,653
4,patient,d993fa3c,663
4,patient,1a4298e0,686
4,patient,d45fb109,696
4,patient,4c835ca8,728
5,patient,3791ffcc,0
5,patient,27698786,0
5,patient,5b5d2dac,9
5,patient,c77f6b6a,15
5,patient,94bbfef7,43
5,worker,17c9bff6,47
5,worker,65f4a7c1,58
5,patient,df4a864f,72
5,worker,7bee79d5,83
5,patient,ed024477,86
5,patient,ee3f8bc3,92
5,patient,5a95cf29,96
5,worker,4150e16e,98
5,patient,f70390e9,99
5,patient,4ff2e395,105
5,patient,c6f01275,117
5,worker,eb115760,130
5,worker,465f316a,170
5,worker,7cda7e67,173
5,patient,3edf4ec8,241
5,patient,df2a181c,244
5,patient,6142a088,266
5,patient,d611418a,274
5,patient,fd22b218,293
5,patient,b140afd9,478
5,patient,492cf150,998
5,patient,250f420b,1012
